PERSON: 1 , "Alice" , "Smith" , 1960 , 1.50 , 50.00
PERSON: 2 , "Bob" , "Johnson" , 1961 , 1.51 , 50.50
PERSON: 3 , "Charlie" , "Brown" , 1962 , 1.52 , 51.00
PERSON: 4 , "Diana" , "Williams" , 1963 , 1.53 , 51.50
PERSON: 5 , "Eve" , "Jones" , 1964 , 1.54 , 52.00
PERSON: 6 , "Frank" , "Miller" , 1965 , 1.55 , 52.50
PERSON: 7 , "Grace" , "Davis" , 1966 , 1.56 , 53.00
PERSON: 8 , "Hank" , "Garcia" , 1967 , 1.57 , 53.50
PERSON: 9 , "Ivy" , "Rodriguez" , 1968 , 1.58 , 54.00
PERSON: 10 , "Jack" , "Wilson" , 1969 , 1.59 , 54.50
PERSON: 11 , "Karen" , "Martinez" , 1970 , 1.60 , 55.00
PERSON: 12 , "Leo" , "Anderson" , 1971 , 1.61 , 55.50
PERSON: 13 , "Mona" , "Taylor" , 1972 , 1.62 , 56.00
PERSON: 14 , "Nina" , "Thomas" , 1973 , 1.63 , 56.50
PERSON: 15 , "Oscar" , "Hernandez" , 1974 , 1.64 , 57.00
PERSON: 16 , "Paula" , "Moore" , 1975 , 1.65 , 57.50
PERSON: 17 , "Quentin" , "Martin" , 1976 , 1.66 , 58.00
PERSON: 18 , "Rachel" , "Jackson" , 1977 , 1.67 , 58.50
PERSON: 19 , "Steve" , "Thompson" , 1978 , 1.68 , 59.00
PERSON: 20 , "Tina" , "White" , 1979 , 1.69 , 59.50
PERSON: 21 , "Alice" , "Smith" , 1980 , 1.70 , 60.00
PERSON: 22 , "Bob" , "Johnson" , 1981 , 1.71 , 60.50
PERSON: 23 , "Charlie" , "Brown" , 1982 , 1.72 , 61.00
PERSON: 24 , "Diana" , "Williams" , 1983 , 1.73 , 61.50
PERSON: 25 , "Eve" , "Jones" , 1984 , 1.74 , 62.00
PERSON: 26 , "Frank" , "Miller" , 1985 , 1.75 , 62.50
PERSON: 27 , "Grace" , "Davis" , 1986 , 1.76 , 63.00
PERSON: 28 , "Hank" , "Garcia" , 1987 , 1.77 , 63.50
PERSON: 29 , "Ivy" , "Rodriguez" , 1988 , 1.78 , 64.00
PERSON: 30 , "Jack" , "Wilson" , 1989 , 1.79 , 64.50
PERSON: 31 , "Karen" , "Martinez" , 1990 , 1.80 , 65.00
PERSON: 32 , "Leo" , "Anderson" , 1960 , 1.81 , 65.50
PERSON: 33 , "Mona" , "Taylor" , 1961 , 1.82 , 66.00
PERSON: 34 , "Nina" , "Thomas" , 1962 , 1.83 , 66.50
PERSON: 35 , "Oscar" , "Hernandez" , 1963 , 1.84 , 67.00
PERSON: 36 , "Paula" , "Moore" , 1964 , 1.85 , 67.50
PERSON: 37 , "Quentin" , "Martin" , 1965 , 1.86 , 68.00
PERSON: 38 , "Rachel" , "Jackson" , 1966 , 1.87 , 68.50
PERSON: 39 , "Steve" , "Thompson" , 1967 , 1.88 , 69.00
PERSON: 40 , "Tina" , "White" , 1968 , 1.89 , 69.50
PERSON: 41 , "Alice" , "Smith" , 1969 , 1.90 , 70.00
PERSON: 42 , "Bob" , "Johnson" , 1970 , 1.91 , 70.50
PERSON: 43 , "Charlie" , "Brown" , 1971 , 1.92 , 71.00
PERSON: 44 , "Diana" , "Williams" , 1972 , 1.93 , 71.50
PERSON: 45 , "Eve" , "Jones" , 1973 , 1.94 , 72.00
PERSON: 46 , "Frank" , "Miller" , 1974 , 1.95 , 72.50
PERSON: 47 , "Grace" , "Davis" , 1975 , 1.96 , 73.00
PERSON: 48 , "Hank" , "Garcia" , 1976 , 1.97 , 73.50
